season,player,cricsheet_identifier,cricinfo_id,unique_name,full_name,country,born,age,batting_style,bowling_style,playing_role
2020/21,Avesh Khan,eef2536f,694211,Avesh Khan,Avesh Khan,India,"December 13, 1996, Indore, Madhya Pradesh",25y 7m 12d 0H 0M 0S,Right hand Bat,Right arm Fast medium,Bowler
2020/21,B Kumar,2e81a32d,326016,B Kumar,Bhuvneshwar Kumar Singh,India,"February 05, 1990, Meerut, Uttar Pradesh",32y 5m 20d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2020/21,BA Stokes,e087956b,311158,BA Stokes,Benjamin Andrew Stokes,England,"June 04, 1991, Christchurch, Canterbury, New Zealand",31y 1m 21d 0H 0M 0S,Left hand Bat,Right arm Fast medium,Allrounder
2020/21,Basil Thampi,871e9faf,732291,Basil Thampi,Basil Thampi,India,"September 11, 1993, Ernakulam, Kerala",28y 10m 14d 0H 0M 0S,Right hand Bat,Right arm Fast medium,Bowler
2020/21,CH Gayle,db584dad,51880,CH Gayle,Christopher Henry Gayle,West Indies,"September 21, 1979, Kingston, Jamaica",42y 10m 4d 0H 0M 0S,Left hand Bat,Right arm Offbreak,Allrounder
2020/21,CH Morris,fb66ce1f,439952,CH Morris,Christopher Henry Morris,South Africa,"April 30, 1987, Pretoria, Transvaal",35y 2m 25d 0H 0M 0S,Right hand Bat,Right arm Fast medium,Bowling Allrounder
2020/21,CJ Green,19b9f399,787073,CJ Green,Christopher James Green,Australia,"October 01, 1993, Durban, Natal, South Africa",28y 9m 24d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Bowling Allrounder
2020/21,CJ Jordan,ffe699c0,288992,CJ Jordan,Christopher James Jordan,England,"October 04, 1988, Barbados",33y 9m 21d 0H 0M 0S,Right hand Bat,Right arm Fast medium,Bowler
2020/21,CV Varun,5b7ab5a9,1108375,CV Varun,Varun Chakravarthy Vinod,India,"August 29, 1991, Bidar, Karnataka",30y 10m 26d 0H 0M 0S,Right hand Bat,Legbreak Googly,Bowler
2020/21,D Padikkal,2c25d4f5,1119026,D Padikkal,Devdutt Padikkal,India,"July 07, 2000, Edapal, Kerala",22y 0m 18d 0H 0M 0S,Left hand Bat,Right arm Offbreak,Top order Batter
2020/21,DA Warner,dcce6f09,219889,DA Warner,David Andrew Warner,Australia,"October 27, 1986, Paddington, New South Wales",35y 8m 28d 0H 0M 0S,Left hand Bat,Legbreak,Opening Batter
2020/21,DJ Bravo,87e562a9,51439,DJ Bravo,Dwayne John Bravo,West Indies,"October 07, 1983, Santa Cruz, Trinidad",38y 9m 18d 0H 0M 0S,Right hand Bat,Right arm Medium,Allrounder
2020/21,DJ Hooda,73ad96ed,497121,DJ Hooda,Deepak Jagbir Hooda,India,"April 19, 1995, Rohtak",27y 3m 6d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Allrounder
2020/21,DL Chahar,23eeb873,447261,DL Chahar,Deepak Lokandersingh Chahar,India,"August 07, 1992, Agra, Uttar Pradesh",29y 11m 18d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2020/21,DR Sams,caf69bf7,826901,DR Sams,Daniel Richard Sams,Australia,"October 27, 1992, Milperra, New South Wales",29y 8m 28d 0H 0M 0S,Right hand Bat,Left arm Fast medium,Allrounder
2020/21,DS Kulkarni,d2a989fc,277955,DS Kulkarni,Dhawal Sunil Kulkarni,India,"December 10, 1988, Bombay (now Mumbai), Maharashtra",33y 7m 15d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2020/21,DW Steyn,8fd1a8f5,47492,DW Steyn,Dale Willem Steyn,South Africa,"June 27, 1983, Phalaborwa",39y 0m 28d 0H 0M 0S,Right hand Bat,Right arm Fast,Bowler
2020/21,EJG Morgan,d2a6c0e6,24598,EJG Morgan,Eoin Joseph Gerard Morgan,England,"September 10, 1986, Dublin",35y 10m 15d 0H 0M 0S,Left hand Bat,Right arm Medium,Middle order Batter
2020/21,F du Plessis,3355b542,44828,F du Plessis,Francois du Plessis,South Africa,"July 13, 1984, Pretoria",38y 0m 12d 0H 0M 0S,Right hand Bat,Legbreak,Middle order Batter
2020/21,GJ Maxwell,b681e71e,325026,GJ Maxwell,Glenn James Maxwell,Australia,"October 14, 1988, Kew, Melbourne, Victoria",33y 9m 11d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Batting Allrounder
2020/21,Gurkeerat Singh,6eb146d2,537124,Gurkeerat Singh,Gurkeerat Rupinder Singh,India,"June 29, 1990, Muktsar, Punjab",32y 0m 26d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Middle order Batter
2020/21,Harpreet Brar,c05edf8e,1168641,Harpreet Brar,Harpreet Brar,India,"September 16, 1995, Meerut, Uttar Pradesh",26y 10m 9d 0H 0M 0S,Left hand Bat,Slow Left arm Orthodox,Bowler
2020/21,HH Pandya,dbe50b21,625371,HH Pandya,Hardik Himanshu Pandya,India,"October 11, 1993, Choryasi, Gujarat",28y 9m 14d 0H 0M 0S,Right hand Bat,Right arm Medium fast,Allrounder
2020/21,HV Patel,f986ca1a,390481,HV Patel,Harshal Vikram Patel,India,"November 23, 1990, Sanand, Gujarat",31y 8m 2d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
